source,target
Organic farming practices protect the environment and produce healthier food.,"Àwọn ìlànà ìroko alẹ́lẹ̀mìí ndáàbò bo àyíká, wọ́n sì nṣẹ̀dá ounjẹ tó dára sí i fún ìlera."
Mulching helps to retain soil moisture during the dry season.,Bíbo ìlẹ̀ pẹ̀lú ìràwé nran ilẹ̀ lọ́wọ́ láti dá omi mú ní àsìkò èèrùn.
Many farmers in Nigeria practice subsistence farming to feed their families.,Ọ̀pọ̀lọpọ̀ àwọn àgbẹ̀ ní Nàìjíríà nṣe ìroko láti bọ́ ẹnu fún ìdílé wọn.
Growing a variety of crops helps protect against market price fluctuations.,Gbígbin oríṣiríṣi àwọn ọ̀gbìn nṣe ìrànlọ́wọ́ láti dáàbò bo ara lọ́wọ́ àyípadà owó ọjà.
Farmers must be aware of plant diseases that can devastate their crops.,Àwọn àgbẹ̀ gbọ́dọ̀ mọ̀ nípa àwọn àrùn ọ̀gbìn tí ó lè bàjẹ́ àwọn ọ̀gbìn wọn tán.
The rainy season brings both opportunities and challenges for farmers.,Àkókò òjò nmú àwọn àǹfàní àti ìpènijà fún àwọn àgbẹ̀.
Women are often responsible for processing and preserving agricultural products.,Àwọn obìnrin ní ọ̀pọ̀ ìgbà máa ní ojúṣe fún ìgbèsè àti ìtọ́jú àwọn èrè oko.
The farmer uses natural predators to control pests in his fields.,Àgbẹ̀ náà nlo àwọn aṣèbárakúṣe alẹ́lẹ̀mìí láti ṣàkóso àwọn kòkòrò oko nínú àwọn oko rẹ̀.
The market for organic produce is growing in Nigeria's urban areas.,Ọjà fún àwọn èrè oko alẹ́lẹ̀mìí ndàgbà ní àwọn agbègbè ìlú-nla Nàìjíríà.
Small-scale farmers often lack access to modern agricultural technology.,Àwọn àgbẹ̀ kékeré ní ọ̀pọ̀ ìgbà kì í ní ànfàní sí ìmọ̀-ẹ̀rọ ìroko òde-òní.
Cashew nuts are an important export crop in some parts of Nigeria.,Àwọn kaṣú jẹ́ ọ̀gbìn tí a ntà sókè òkun tó ṣe pàtàkì ní àwọn agbègbè kan ní Nàìjíríà.
The farmer plants cover crops to protect and improve his soil during fallow periods.,Àgbẹ̀ náà ngbin àwọn ọ̀gbìn ìbòmọ́lẹ̀ láti dáàbò bo àti mú ilẹ̀ rẹ̀ dára sí i ní àsìkò ìtu.
Agricultural research stations develop improved seed varieties for local conditions.,Àwọn ibùdó ìwádìí ìroko nṣẹ̀dá àwọn irúgbìn oríṣi tí a ti mú dára sí i fún àwọn ipò àdúgbò.
"Many young people are migrating from rural areas, leaving fewer people to work the land.","Ọ̀pọ̀lọpọ̀ àwọn ọ̀dọ́ nsipò kúrò ní àwọn agbègbè ìletò, wọ́n sì fi ènìyàn díẹ̀ sílẹ̀ láti ro ilẹ̀."
Farmers' markets provide fresh produce directly from growers to consumers.,Àwọn ọjà àgbẹ̀ npèsè àwọn èrè oko tútù láti ọ̀dọ̀ àwọn olùgbìn tààrà lọ sí àwọn olùlò.
The government agricultural program distributes improved seed varieties to farmers.,Ètò ìroko ìjọba npín àwọn irúgbìn oríṣi tí a ti mú dára sí i fún àwọn àgbẹ̀.
Erosion control is essential in hilly areas to prevent topsoil loss.,Ìdí ilẹ̀ẹ́yìnrìn dúró ṣe pàtàkì ní àwọn agbègbè olórí-òkè láti dènà pípadànù ọ̀rá ilẹ̀.
The farmer built a small dam to collect water for dry-season irrigation.,Àgbẹ̀ náà kọ́ àba kékeré láti kó omi jọ fún ìbomirin àsìkò èèrùn.
Traditional farming knowledge includes understanding local weather patterns.,Ìmọ̀ ìroko ìbílẹ̀ níl náà àwọn ìlànà òye àwọn ọ̀nà ojú-ọjọ́ àdúgbò.
The agricultural extension officer demonstrates new planting techniques.,Aṣáájú ìfidásílẹ̀ ìroko nfihan àwọn ọ̀nà gbígbin tuntun.
Family farming is the backbone of Nigeria's agricultural sector.,Ìroko ìdílé ni ẹ̀yìn ẹ̀ka ìroko Nàìjíríà.
The community granary stores grain for use during food shortages.,Àká ìlú ntọ́jú èso fún lílò ní àsìkò àìtó onjẹ.
Crop diversification reduces the risk of total harvest failure.,Oríṣiríṣi ọ̀gbìn gbígbin ndín ewu ìkùnà ìkórè pátápátá kù.
The farmer uses crop residue to feed his livestock during the dry season.,Àgbẹ̀ náà nlo àwọn ìyókù ọ̀gbìn láti bọ́ àwọn ẹran-ọ̀sìn rẹ̀ ní àsìkò èèrùn.
Indigenous farming practices have been developed over many generations.,A ti gbé àwọn ìlànà ìroko ìbílẹ̀ kalẹ̀ láti ọ̀pọ̀lọpọ̀ ìran.
Agricultural cooperatives help small farmers market their produce more effectively.,Àwọn ẹgbẹ́ ìroko nṣe ìrànlọ́wọ́ fún àwọn àgbẹ̀ kékeré láti ta àwọn èrè oko wọn ní ọ̀nà tó múnádóko sí i.
Water management is critical for successful crop production.,Ìṣàkóso omi ṣe pàtàkì fún ìṣẹ̀dá ọ̀gbìn tó yẹ.
The farmer's daughter is studying agricultural science at the university.,Ọmọbìnrin àgbẹ̀ náà nkẹ́kọ̀ọ́ ẹ̀kọ́ ìmọ̀-jìnlẹ̀ ìroko ní ilé-ẹ̀kọ́ gíga.
Intercropping helps to maximize land use and improve soil health.,Gbígbin nínú àárín nṣe ìrànlọ́wọ́ láti mú lílò ilẹ̀ pọ̀ jù àti mú ìlera ilẹ̀ dára sí i.
Organic fertilizers improve soil structure and long-term fertility.,Àwọn ajílẹ̀ alẹ́lẹ̀mìí nmú ètò-inú ilẹ̀ àti ìlọ́rà ọlọ́jọ́-pípẹ́ dára sí i.
The use of pesticides must be carefully managed to avoid environmental damage.,Lílò àwọn ẹlà apakòkòrò gbọ́dọ̀ jẹ́ ìṣàkóso pẹ̀lú ìṣọ́ra láti yẹra fún ìbàjẹ́ àyíká.
Smallholder farmers often practice mixed farming with both crops and livestock.,Àwọn àgbẹ̀ oníléeṣe kékeré ní ọ̀pọ̀ ìgbà máa nṣe ìroko àdàpọ̀ pẹ̀lú àwọn ọ̀gbìn àti ẹran-ọ̀sìn.
Traditional farming calendars are based on generations of local knowledge.,A da àwọn àkọsílẹ̀ ìroko ìbílẹ̀ lé ìmọ̀ àdúgbò láti ọ̀pọ̀lọpọ̀ ìran.
Modern irrigation systems can greatly increase agricultural productivity.,Àwọn ètò ìbomirin òde-òní lè mú ìṣẹ̀dá ìroko pọ̀ sí i púpọ̀.
Rural infrastructure development is essential for agricultural growth.,Ìdàgbàsókè ètò ìmúlò ìletò ṣe pàtàkì fún ìdàgbà ìroko.
The farmer uses a handheld GPS device to map his fields accurately.,Àgbẹ̀ náà nlo ẹ̀rọ GPS ọwọ́ láti ya àwọ̀jo àwọn oko rẹ̀ ní òtítọ́.
Proper grain storage prevents losses from pests and moisture.,Ìtọ́jú èso tó tọ́ ndènà àwọn àdánù láti ọwọ́ àwọn kòkòrò oko àti omi-inú.
Agricultural diversification spreads risk and increases income stability.,"Oríṣiríṣi ìroko tan ewu ká, ó sì nmú ìdúróṣinṣin owó wólé pọ̀ sí i."
Many rural communities still use traditional tools for farming.,Ọ̀pọ̀lọpọ̀ àwọn àwùjọ ìletò síbẹ̀síbẹ̀ nlo àwọn irinṣẹ́ ìbílẹ̀ fún ìroko.
The women's cooperative processes palm oil using traditional methods.,Ẹgbẹ́ àwọn obìnrin ngbèsè epo pálmù pẹ̀lú àwọn ọ̀nà ìbílẹ̀.
Land ownership issues can affect investment in agricultural improvements.,Àwọn ọ̀rọ̀ oníni-ilẹ̀ lè ní ipa lórí ìfowópamọ́sí ìmúdára ìroko.
Crop rotation helps to prevent soil nutrient depletion.,Yíyí ọ̀gbìn padà nṣe ìrànlọ́wọ́ láti dènà ìpámọ́ èròjà ilẹ̀.
Farmers must manage weeds that compete with crops for nutrients.,Àwọn àgbẹ̀ gbọ́dọ̀ ṣàkóso àwọn èpò tí nṣe ìdíje pẹ̀lú àwọn ọ̀gbìn fún àwọn èròjà.
Seasonal migration for farming work is common in many rural areas.,Ìsipò fún iṣẹ́ ìroko jẹ́ ohun tí ó wọ́pọ̀ ní ọ̀pọ̀lọpọ̀ àwọn agbègbè ìletò.
The Agricultural Bank provides special loans for farmers.,Ilé Ìfowópamọ́ Ìroko npèsè àwọn àwìn àkànṣe fún àwọn àgbẹ̀.
Farmers' training workshops introduce new agricultural techniques.,Àwọn iṣẹ́-ọwọ́ ẹ̀kọ́ àgbẹ̀ nfàyàsí àwọn ọ̀nà ìroko tuntun.
Yam cultivation requires making mounds to encourage tuber development.,Ṣíṣe ìroko ìṣù béèrè fún kíkọ́ àwọn ebè láti gbà ìdàgbàsókè kúkúté.
The decline in pollinator populations threatens crop production worldwide.,Ìdínkù nínú àwọn ẹ̀dá tí nṣe ìgbàrin ndẹ́rùbà ìṣẹ̀dá ọ̀gbìn ní gbogbo àgbáyé.
Many farmers have traditional methods for predicting the start of the rainy season.,Ọ̀pọ̀lọpọ̀ àwọn àgbẹ̀ ní àwọn ọ̀nà ìbílẹ̀ fún àsọtẹ́lẹ̀ ìbẹ̀rẹ̀ àkókò òjò.
Agricultural information is shared through radio programs in rural areas.,A nṣàpín ìfitónilétí ìroko pẹ̀lú àwọn ètò rédíò ní àwọn agbègbè ìletò.
"Cassava processing requires soaking, grinding and drying the tubers.","Ìgbèsè paki béèrè fún ìrẹ̀, ìlọ àti ìfẹ̀ àwọn kúkúté."
The farmer uses contour plowing to prevent soil erosion on sloped land.,Àgbẹ̀ náà nlo ìtúlẹ̀ onípele láti dènà ilẹ̀ẹ́yìnrìn lórí ilẹ̀ olókè.
Indigenous seed varieties are often better adapted to local conditions.,Àwọn irúgbìn oríṣi ìbílẹ̀ ní ọ̀pọ̀ ìgbà máa dára sí àwọn ipò àdúgbò.
The government's agricultural policy aims to increase food security.,Ìlànà ìroko ìjọba ní àfojúsùn láti mú ààbò onjẹ pọ̀ sí i.
Some farmers are returning to traditional crop varieties that are more resilient.,Àwọn àgbẹ̀ kan npadà sí àwọn oríṣi ọ̀gbìn ìbílẹ̀ tí ó ní agbára sí i.
Palm wine tapping is an important traditional agricultural practice.,Fífá ọtí-ọ̀pẹ jẹ́ ìlànà ìroko ìbílẹ̀ pàtàkì.
The farmer sells his vegetables at the local market every Saturday.,Àgbẹ̀ náà nta àwọn ewébẹ̀ rẹ̀ ní ọjà àdúgbò ní ọjọ́ Àbámẹ́ta kọ̀ọ̀kan.
Mixed farming provides income throughout the year from different sources.,Ìroko àdàpọ̀ npèsè owó wọlé ní gbogbo ọdún láti àwọn orísun tó yàtọ̀.
Farm animals provide not only food but also labor and manure.,Àwọn ẹranko oko kì í ṣe onjẹ nìkan ni wọ́n npèsè ṣùgbọ́n bakannáà iṣẹ́ àti ẹlẹ́bọ́tọ.
Farmers must adapt to changing climate patterns that affect growing seasons.,Àwọn àgbẹ̀ gbọ́dọ̀ ṣe ìmúra sí àwọn àyípadà ọ̀nà ojú-ọjọ́ tí ó ní ipa lórí àwọn àsìkò ìdàgbàsókè.
The farmer's knowledge of local soil conditions guides his planting decisions.,Ìmọ̀ àgbẹ̀ náà nípa àwọn ipò ilẹ̀ àdúgbò ntọ́ àwọn ipinnu gbígbin rẹ̀ lọ́nà.
Cassava can grow in poor soil conditions where other crops might fail.,Paki lè hù nínú àwọn ipò ilẹ̀ àìdára níbi tí àwọn ọ̀gbìn mìíràn lè kùnà.
The farmer protects young seedlings with palm fronds until they are established.,Àgbẹ̀ náà ndáàbò bo àwọn ọ̀jẹ̀lẹ̀ tuntun pẹ̀lú àwọn ìmọ̀wọ́ ọ̀pẹ títí wọn yóò fi gbé ẹsẹ̀ kalẹ̀.
Traditional land tenure systems affect how farming is practiced in many communities.,Àwọn ètò oníni-ilẹ̀ ìbílẹ̀ ní ipa lórí bí a ṣe nṣe ìroko ní ọ̀pọ̀lọpọ̀ àwọn àwùjọ.
The Agricultural Fair showcases new farming technologies and techniques.,Ìpàdé Ìroko nfihan àwọn ìmọ̀-ẹ̀rọ àti ọ̀nà ìroko tuntun.
Farmers' children often learn agricultural skills from an early age.,Àwọn ọmọ àgbẹ̀ ní ọ̀pọ̀ ìgbà máa nkọ́ àwọn ìmọ̀ṣe ìroko láti kékeré.
The farmer uses both traditional knowledge and modern science in his work.,Àgbẹ̀ náà nlo ìmọ̀ ìbílẹ̀ àti ìmọ̀-jìnlẹ̀ òde-òní nínú iṣẹ́ rẹ̀.
Agricultural export earnings are important for Nigeria's economy.,Àwọn owó tí a ngbà láti títà àwọn èrè oko sí ilẹ̀ òkèèrè ṣe pàtàkì fún ọrọ̀-ajé Nàìjíríà.
Many farmers plant by the moon phases as their ancestors did.,Ọ̀pọ̀lọpọ̀ àwọn àgbẹ̀ ngbin nípa àwọn ìyípo òṣùpá bí àwọn bàbà ńlá wọn ṣe ṣe.
Sustainable agriculture depends on maintaining healthy soil ecosystems.,Ìroko tó wà ní ìdúróṣinṣin gbẹ̀kẹ́lé ìmútòsí àwọn ètò-ìyè ilẹ̀ aláláfíà.
The farmer uses different crops in rotation to maintain soil fertility.,Àgbẹ̀ náà nlo àwọn ọ̀gbìn tó yàtọ̀ ní yíyí padà láti mú ọ̀rá ilẹ̀ wà ní ìdúróṣinṣin.
"Agricultural labor is often seasonal, with high demand during planting and harvest.","Iṣẹ́ ìroko ní ọ̀pọ̀ ìgbà jẹ́ ti àsìkò, pẹ̀lú ìbéèrè gíga ní àsìkò gbígbin àti ìkórè."
The community works together during major farming activities like harvesting.,Àwùjọ nṣiṣẹ́ papọ̀ ní àsìkò àwọn iṣẹ́ ìroko pàtàkì bí ìkórè.
Women farmers often manage vegetable gardens close to the home.,Àwọn àgbẹ̀ obìnrin ní ọ̀pọ̀ ìgbà máa nṣàkóso àwọn ọgbà ewébẹ̀ tí ó súnmọ́ ilé.
The Agricultural Research Institute develops pest-resistant crop varieties.,Ilé-iṣẹ́ Ìwádìí Ìroko nṣẹ̀dá àwọn oríṣi ọ̀gbìn tí ó lè tako àwọn kòkòrò oko.
Nomadic herders move their livestock based on seasonal grazing patterns.,Àwọn olùṣọ́-ẹran alárinrin nsún àwọn ẹran-ọ̀sìn wọn nípa títẹ̀lé àwọn ọ̀nà jíjẹ àsìkò.
The local chief allocates farming land to community members.,Baálẹ̀ àdúgbò npín ilẹ̀ ìroko fún àwọn ọmọ àwùjọ.
"Traditional food preservation techniques include smoking, drying and fermentation.","Àwọn ọ̀nà ìtọ́jú onjẹ ìbílẹ̀ pẹ̀lú sísí, fífẹ̀ àti ìdíbà."
The farming calendar is closely tied to the seasonal weather patterns.,Àkọsílẹ̀ ìroko ni àjọṣe tímọ́tímọ́ pẹ̀lú àwọn ọ̀nà ojú-ọjọ́ àsìkò.
Farmers' markets allow producers to sell directly to consumers.,Àwọn ọjà àgbẹ̀ nfún àwọn olùṣẹ̀dá láàyè láti ta tààrà fún àwọn olùlò.
Cassava is processed into various food products including garri and fufu.,A ngbèsè paki sí oríṣiríṣi àwọn ọjà onjẹ pẹ̀lú gaàrí àti fúfú.
Water harvesting techniques are important in areas with uncertain rainfall.,Àwọn ọ̀nà ìṣàkójọpọ̀ omi ṣe pàtàkì ní àwọn agbègbè pẹ̀lú òjò àìdánilójú.
The farming cooperative shares equipment among its members.,Ẹgbẹ́ ìroko nṣàjọpín àwọn ẹ̀rọ láàrín àwọn ọmọ ẹgbẹ́ rẹ̀.
Proper crop storage prevents post-harvest losses.,Ìtọ́jú ọ̀gbìn tó tọ́ ndènà àwọn àdánù lẹ́hìn ìkórè.
The village elder teaches young people traditional farming methods.,Àgbàlagbà ìlú nkọ́ àwọn ọ̀dọ́ àwọn ọ̀nà ìroko ìbílẹ̀.
Agricultural extension workers provide technical advice to rural farmers.,Àwọn òṣìṣẹ́ ìfidásílẹ̀ ìroko npèsè ìmọ̀ràn ẹ̀rọ fún àwọn àgbẹ̀ ìletò.
Crop insurance helps protect farmers against weather-related losses.,Ààbò ọ̀gbìn nṣe ìrànlọ́wọ́ láti dáàbò bo àwọn àgbẹ̀ lọ́wọ́ àwọn àdánù tí ó jọmọ́ ojú-ọjọ́.
Traditional land preparation includes burning to clear fields.,Ìmúrasílẹ̀ ilẹ̀ ìbílẹ̀ pẹ̀lú sísun láti fọ́ àwọn ilẹ̀.
Many farmers now practice sustainable agriculture to protect the environment.,Ọ̀pọ̀lọpọ̀ àwọn àgbẹ̀ báyìí nṣe ìroko tó wà ní ìdúróṣinṣin láti dáàbò bo àyíká.
Food processing adds value to raw agricultural products.,Ìgbèsè onjẹ nṣe àfikún iye sí àwọn ọjà ìroko aláìgbèsè.
The rural farming community maintains traditional seed storage methods.,Àwùjọ ìroko ìletò ntọ́jú àwọn ọ̀nà ìtọ́jú irúgbìn ìbílẹ̀.
Agricultural education programs train the next generation of farmers.,Àwọn ètò ẹ̀kọ́ ìroko nkọ́ ìran tó nbọ̀ ti àwọn àgbẹ̀.
The farmer records rainfall patterns to plan his planting schedule.,Àgbẹ̀ náà nṣe àkọsílẹ̀ àwọn ọ̀nà òjò láti ètò àkókò gbígbin rẹ̀.
Traditional farming includes rituals to ensure a good harvest.,Ìroko ìbílẹ̀ pẹ̀lú àwọn ìṣeṣe láti fi ìdí ìkórè tó dára múlẹ̀.
Many farmers supplement their income with non-farm activities.,Ọ̀pọ̀lọpọ̀ àwọn àgbẹ̀ nṣe àfikún owó wọlé wọn pẹ̀lú àwọn iṣẹ́ tí kìí ṣe ti oko.
The farmer carefully selects which yams to keep for next year's planting.,Àgbẹ̀ náà pẹ̀lú ìṣọ́ra nṣe àṣàyàn àwọn ìṣù tí yóò tọ́jú fún gbígbin ọdún tó nbọ̀.
Traditional land tenure systems can limit agricultural investments.,Àwọn ètò oníni-ilẹ̀ ìbílẹ̀ lè fi òpin sí àwọn ìfowópamọ́sí ìroko.
The community farming group shares labor during busy seasons.,Ẹgbẹ́ ìroko àwùjọ nṣàjọpín iṣẹ́ ní àwọn àsìkò tí iṣẹ́ pọ̀.
The market women buy produce directly from farms to resell at urban markets.,Àwọn oníṣòwò obìnrin nra èrè oko tààrà láti àwọn oko láti tún ta ní àwọn ọjà ìlú-nla.
Agricultural mechanization reduces the need for manual labor.,Ṣíṣe ìroko pẹ̀lú ẹ̀rọ ndín ìnílò iṣẹ́ ọwọ́ kù.
Biology is the study of living things.,Ẹ̀kọ́ ẹ̀dá-oníyè jẹ́ ẹ̀kọ́ nípa àwọn ohun alààyè.
"Living things need air, food and water to stay alive.","Àwọn ẹ̀dá oníyè nílò atẹ́gùn, onjẹ àti omi láti wà láàyè."
The cell is the fundamental unit of all living organisms.,Pádi jẹ́ ìpilẹ̀ṣẹ̀ ẹyọ ètò-inú gbogbo ẹ̀dá oníyè.
Plants make their own food through photosynthesis.,Àwọn ọ̀gbìn máa ṣe onjẹ wọn fúnra wọn nípa àsè-ìtànná.
Animals need to eat other organisms to get energy.,Àwọn ẹranko nílò láti jẹ àwọn ẹ̀dá míràn láti gba agbára.
Respiration is the process by which living things get energy from food.,Ìpòyìdà jẹ́ ọ̀nà tí àwọn ẹ̀dá oníyè fi ngba agbára láti inú onjẹ.
All living things show the characteristic of growth.,Gbogbo àwọn ẹ̀dá oníyè ní ìṣèwàhù ìdàgbàsókè.
Reproduction allows organisms to produce offspring.,Bíbí jẹ́ kí àwọn ẹ̀dá oníyè lè bí irú ara wọn.
The body contains different organ systems that work together.,Ara ní àwọn ètò ẹ̀yà-ara oríṣiríṣi tí wọ́n jọ ṣiṣẹ́ pọ̀.
The nervous system controls the body's responses to stimuli.,Ètò ẹ̀sọ ara ló ndarí ìdáhùn ara sí àwọn ìfunniláwòsí.
The heart pumps blood throughout the circulatory system.,Ọkàn ló má ntà ẹ̀jẹ̀ yí gbogbo ètò ìṣọ̀n-ẹ̀jẹ̀ ká.
Plants absorb water and nutrients through their roots.,Àwọn ọ̀gbìn máa fa omi àti eroja mọ́ra láti inú egbò wọn.
The brain is the control center of the human body.,Ọpọlọ jẹ́ ibi-àṣẹ ara ènìyàn.
Lungs are the main organs of the respiratory system.,Àwọn ẹ̀dọ̀fóró jẹ́ àwọn ẹ̀yà-ara pàtàkì ètò ẹ̀yà-ìpòyìdà ara.
DNA carries the genetic information in all living organisms.,DNA gbe àwọn alaye atirandiran fún gbogbo ẹ̀dá oníyè.
Evolution is the change in inherited characteristics of biological populations over successive generations.,Ìtìranyà jẹ́ ìyípadà nínú àwọn ìṣèwàhù tí a jogún nínú àwọn ẹgbẹ́ ẹ̀dá-oníyè láti ìran dé ìran.
The immune system protects the body from diseases.,Ètò òkí-ara dáàbò bo ara kúrò lọ́wọ́ àwọn àrùn.
Hormones are chemical messengers that regulate body functions.,Àwọn ojera jẹ́ àwọn ìránṣẹ́ ẹlà tí wọ́n máa ṣe àtúlétò àwọn iṣẹ́ ara.
The digestive system breaks down food into nutrients.,Ètò ẹ̀dà-onjẹ ara máa fọ́ onjẹ sí àwọn èròjà.
Organisms can be classified into different kingdoms.,A lè ṣe ìkàsí àwọn ẹ̀dá oníyè sí àwọn ìjọ oríṣiríṣi.
Taxonomy is the science of classifying living things.,Ẹ̀kọ́ ìkàsí jẹ́ ìmọ̀-jìnlẹ̀ nípa síṣe àpínlẹ̀ àwọn ẹ̀dá oníyè.
Photosynthesis uses sunlight to convert carbon dioxide and water into glucose and oxygen.,Àsè-ìtànná lo ìtànná-oòrùn láti sọ òyì-èédú àti omi di sírọ́bù àti òyì-iná.
The cell membrane controls what enters and leaves the cell.,Ìwọ̀ ohun-inú pádi ló ndarí ohun tí ó wọlé àti tí ó jáde nínú pádi.
Mitosis is a form of cell division that results in two identical daughter cells.,Pínpín àgọ́-pádi jẹ́ ọ̀nà pínpín pádi tí ó máa ńmú ìdá pádi méjì tí wọ́n jọ bákan náà wà.
Humans have 46 chromosomes in each cell.,Ènìyàn ní okùn-ìran mẹ́rìndínláadọ́ta nínú pádi kọ̀ọ̀kan.
The skeletal system provides structure and support for the body.,Ètò àjọ-eegun ara pèsè ètò-ara àti àtìlẹ́hìn fún ara.
Nutrients from food provide energy and building materials for the body.,Àwọn èròjà láti inú onjẹ pèsè agbára àti ohun èlò ìkọ́lé fún ara.
Ecosystem is a community of living organisms and their environment.,Ètò ọjọ̀-ẹ̀dá jẹ́ àjọ àwọn ẹ̀dá oníyè àti àyíká wọn.
Predators hunt other animals for food.,Àwọn adẹ́ranpa máa ńdẹ àwọn ẹranko mìíràn fún onjẹ.
Decomposers break down dead organic matter.,Àwọn aṣèparẹ́ máa ńfọ́ àwọn ohun oníyè tí ó ti kú jáde.
Carnivores are animals that primarily eat other animals.,Àwọn ajẹran jẹ́ àwọn ẹranko tí wọ́n máa ńjẹ àwọn ẹranko mìíràn ní pàtàkì.
Herbivores are animals that primarily eat plants.,Àwọn ajẹ̀wọ̀ jẹ́ àwọn ẹranko tí wọ́n máa ńjẹ àwọn ọ̀gbìn ní pàtàkì.
The heart has four chambers: two atria and two ventricles.,Ọkàn ní yàrá mẹ́rin: àtọ̀ méjì àti àtẹ̀ méjì.
"Blood consists of plasma, red blood cells, white blood cells, and platelets.","Ẹ̀jẹ̀ ní oje-ẹ̀jẹ̀, àwọn pádi-ẹ̀jẹ̀ pupa, àwọn pádi-ẹ̀jẹ̀ funfun, àti àwọn adèépá ẹ̀jẹ̀."
The spinal cord connects the brain to the rest of the body.,Ẹ̀sọ ọ̀pá-ẹ̀hìn so ọpọlọ pọ̀ mọ́ ìyókù ara.
The kidney filters waste from the blood.,Iwe máa ńsẹ́ ẹ̀gbin kúrò nínú ẹ̀jẹ̀.
Muscles contract and relax to move bones.,Àwọn iṣan máa ńfàsẹ́yìn àti túsílẹ̀ láti mú eegun fò.
Plants respond to light by growing towards it.,Àwọn ọ̀gbìn máa ńdáhùn sí ìtànná nípa dídàgbà lọ sí ọ̀dọ̀ rẹ̀.
Flowers contain the reproductive organs of plants.,Àwọn òdòdó ní àwọn ẹ̀yà ìbísí àwọn ọ̀gbìn.
Seeds contain the embryo of a new plant.,Àwọn irúgbìn ní ọlẹ̀ ọ̀gbìn tuntun.
Pollen is produced by the male parts of a flower.,Ìyẹ̀rin jẹ́ èyí tí ẹ̀yà akọ òdòdó ńṣe.
Fruits develop from flowers after fertilization.,Àwọn èso máa ńdàgbà láti inú òdòdó lẹ́yìn ìgbàrin.
Diseases are caused by pathogens such as bacteria and viruses.,Àwọn àrùn jẹ́ èyí tí àwọn ẹ̀yà-wuuru afàìsàn bíi àwọn alámọ̀ àti àwọn ọlọ́jẹ̀ máa ńfà.
Vaccines help the body develop immunity against specific diseases.,Àwọn àjẹsára máa ńrànlọ́wọ́ ara láti gbé òkí jáde sí àwọn àrùn pàtó.
The brain processes information from the senses.,Ọpọlọ máa ńṣe àgbékalẹ̀ alaye láti àwọn ẹ̀yà-iyè.
Neurons transmit electrical signals throughout the nervous system.,Àwọn pádi ẹ̀sọ máa ńgbé àwọn àmì agbára àrá káàkiri ètò ẹ̀sọ ara.
The human body is made up of about 60% water.,Ara ènìyàn jẹ́ èyí tí ó ní ìdá ọgọ́ta omi.
The skin is the largest organ of the human body.,Awọ-ara jẹ́ ẹ̀yà-ara tí ó tóbi jù nínú ara ènìyàn.
Blood transports oxygen from the lungs to the cells.,Ẹ̀jẹ̀ máa ńgbé òyì-iná láti àwọn ẹ̀dọ̀fóró lọ sí àwọn pádi.
Plants release oxygen as a byproduct of photosynthesis.,Àwọn ọ̀gbìn máa ńtú òyì-iná sílẹ̀ gẹ́gẹ́ bí ẹ̀sún àsè-ìtànná.
Cells in the body are constantly being replaced.,Àwọn pádi nínú ara ńgba ipo ara wọn sílẹ̀ ní ìgbà gbogbo.
Adaptation is the process by which organisms become better suited to their environment.,Ìmọ́ra jẹ́ ọ̀nà tí àwọn ẹ̀dá fi ńdi mú dára si fún àyíká wọn.
Genetic mutations can lead to evolution over time.,Àwọn ìyípadà nínú ẹyọ-ìran lè yọrí sí ìtìranyà ní ìlọsíwájú.
Enzymes speed up chemical reactions in the body.,Àwọn ayásè-ara máa ńsọ àwọn àsè ẹlà nínú ara di yára.
The liver detoxifies harmful substances in the blood.,Ẹ̀dọ̀ máa ńmú àwọn ohun olóró kúrò nínú ẹ̀jẹ̀.
Balanced diet provides all the nutrients needed by the body.,Ìjẹẹ̀mun pípé pèsè gbogbo àwọn èròjà tí ara nílò.
Diabetes is a disease related to blood sugar levels.,Àtọ̀gbẹ jẹ́ àìsàn tí ó ní í ṣe pẹ̀lú ìwọ̀n sírọ́bù ẹ̀jẹ̀.
White blood cells defend the body against infections.,Àwọn pádi-ẹ̀jẹ̀ funfun máa ńgbèjà ara sí àwọn ìkóràn.
Viruses can only reproduce inside the cells of other organisms.,Àwọn ọlọ́jẹ̀ lè bí nínú àwọn pádi ti àwọn ẹ̀dá mìíràn nìkan.
Antibiotics are used to treat bacterial infections.,A máa ńlo àwọn oògùn àìjeohun èlò láti wòsàn àwọn ìkóràn alámọ̀.
"Humans have five main senses: sight, hearing, touch, taste, and smell.","Ènìyàn ní àwọn ẹ̀yà-iyè pàtàkì márùn-ún: ìríran, ìgbọ́rọ̀, ìfọwọ́kan, ìtọ́wò, àti ìgbóorun."
"The appendix is a small, finger-like projection attached to the large intestine.",Ìka-ìyẹ̀wù-ìfun jẹ́ ìyọ kékeré tí ó jọ ìka tí a so mọ́ ìfun nlá.
The pancreas produces insulin to regulate blood sugar.,Ẹ̀dọ̀-òrónro máa ńṣe ìnísùlì láti ṣàkóso sírọ́bù ẹ̀jẹ̀.
A food chain shows how energy flows from one organism to another.,Okùn ìjẹ máa ńfihàn bí agbára ṣe ńsàn láti ẹ̀dá kan sí èkejì.
Symbiosis is a close relationship between two different species.,Ìsọrọpọ̀ jẹ́ àjọsọ tímọ́tímọ́ láàrín àwọn ẹ̀yà méjì tí ó yàtọ̀.
